Layer,Name,GEOID,Population,POP_2020-2024_moe
Census tract,Tract 3511,17031351100,"2,000",537
Census tract,Tract 3514,17031351400,"1,387",401
Census tract,Tract 3515,17031351500,973,133
Census tract,Tract 3602,17031360200,"1,900",652
Census tract,Tract 3801,17031380100,"1,787",386
Census tract,Tract 3802,17031380200,"1,689",373
Census tract,Tract 3806,17031380600,"4,952",881
Census tract,Tract 3812,17031381200,"1,952",433
Census tract,Tract 3814,17031381400,"1,579",351
Census tract,Tract 3815,17031381500,669,163
Census tract,Tract 3817,17031381700,0,13
Census tract,Tract 3818,17031381800,"1,448",351
Census tract,Tract 3819,17031381900,"1,324",296
Census tract,Tract 3901,17031390100,"1,887",402
Census tract,Tract 3902,17031390200,"2,012",300
Census tract,Tract 3903,17031390300,"2,531",467
Census tract,Tract 3904,17031390400,"2,499",445
Census tract,Tract 3905,17031390500,"1,753",217
Census tract,Tract 3906,17031390600,"1,898",333
Census tract,Tract 3907,17031390700,"5,837",869
Census tract,Tract 4003,17031400300,"1,311",308
Census tract,Tract 4004,17031400400,"2,059",444
Census tract,Tract 4005,17031400500,"2,308",474
Census tract,Tract 4008,17031400800,"2,909",637
Census tract,Tract 4101,17031410100,"2,287",369
Census tract,Tract 4102,17031410200,"1,133",199
Census tract,Tract 4105,17031410500,"2,887",439
Census tract,Tract 4106,17031410600,"2,600",357
Census tract,Tract 4107,17031410700,"2,494",451
Census tract,Tract 4108,17031410800,"2,770",482
Census tract,Tract 4109,17031410900,"3,693",528
Census tract,Tract 4110,17031411000,"4,548",977
Census tract,Tract 4111,17031411100,"2,359",291
Census tract,Tract 4112,17031411200,"1,698",187
Census tract,Tract 4201,17031420100,"1,431",283
Census tract,Tract 4202,17031420200,"2,011",368
Census tract,Tract 4203,17031420300,"2,511",331
Census tract,Tract 4204,17031420400,"1,463",229
Census tract,Tract 4205,17031420500,"1,751",531
Census tract,Tract 4206,17031420600,"2,980",646
Census tract,Tract 4207,17031420700,"2,424",515
Census tract,Tract 4208,17031420800,"2,146",565
Census tract,Tract 4212,17031421200,"2,049","1,348"
Census tract,Tract 4301.01,17031430101,"3,776",772
Census tract,Tract 4301.02,17031430102,"3,582",806
Census tract,Tract 4302,17031430200,"5,792","1,102"
Census tract,Tract 4303,17031430300,"2,708",550
Census tract,Tract 4304,17031430400,"3,014",507
Census tract,Tract 4305,17031430500,"3,531",724
Census tract,Tract 4306,17031430600,"1,722",489
Census tract,Tract 4307,17031430700,"1,983",333
Census tract,Tract 4308,17031430800,"1,935",326
Census tract,Tract 4309,17031430900,"1,541",320
Census tract,Tract 4312,17031431200,"2,892",491
Census tract,Tract 4313.01,17031431301,"3,702",778
Census tract,Tract 4313.02,17031431302,"3,463","1,155"
Census tract,Tract 4314,17031431400,"6,850",889
Census tract,Tract 4401.01,17031440101,"3,582",595
Census tract,Tract 4401.02,17031440102,"3,185",469
Census tract,Tract 4402.01,17031440201,"5,310","1,429"
Census tract,Tract 4402.02,17031440202,"2,608",310
Census tract,Tract 4403,17031440300,"4,400",973
Census tract,Tract 4406,17031440600,"1,957",453
Census tract,Tract 4407,17031440700,"1,428",529
Census tract,Tract 4408,17031440800,"1,977",537
Census tract,Tract 4409,17031440900,"2,593",453
Census tract,Tract 4503,17031450300,"2,968",521
Census tract,Tract 4601,17031460100,"2,351",405
Census tract,Tract 4602,17031460200,"2,196",532
Census tract,Tract 4603.01,17031460301,"2,721",705
Census tract,Tract 4603.02,17031460302,"3,309",874
Census tract,Tract 4604,17031460400,"3,817",744
Census tract,Tract 4605,17031460500,"4,954",970
Census tract,Tract 4608,17031460800,"4,257",838
Census tract,Tract 4610,17031461000,"1,230",297
Census tract,Tract 4701,17031470100,"2,304",520
Census tract,Tract 4801,17031480100,"1,989",295
Census tract,Tract 4802,17031480200,"1,029",228
Census tract,Tract 4803,17031480300,"1,296",287
Census tract,Tract 4804,17031480400,"4,084",907
Census tract,Tract 4805,17031480500,"2,831",589
Census tract,Tract 4902,17031490200,"2,879",535
Census tract,Tract 4905,17031490500,"1,971",396
Census tract,Tract 4906,17031490600,"1,344",217
Census tract,Tract 4907,17031490700,"2,494",577
Census tract,Tract 4908,17031490800,"3,573",803
Census tract,Tract 4909.01,17031490901,"2,758",570
Census tract,Tract 4909.02,17031490902,"4,725",963
Census tract,Tract 4910,17031491000,"3,412",809
Census tract,Tract 4911,17031491100,"4,062",560
Census tract,Tract 4912,17031491200,"1,848",406
Census tract,Tract 4913,17031491300,"2,025",466
Census tract,Tract 4914,17031491400,"2,515",731
Census tract,Tract 5001,17031500100,"3,283",588
Census tract,Tract 5002,17031500200,"1,769",467
Census tract,Tract 5003,17031500300,"1,692",236
Census tract,Tract 5101,17031510100,"3,129",698
Census tract,Tract 5102,17031510200,"2,985",606
Census tract,Tract 5103,17031510300,"4,344","1,225"
Census tract,Tract 5201,17031520100,"1,816",546
Census tract,Tract 5202,17031520200,"3,485",675
Census tract,Tract 5203,17031520300,"6,186",799
Census tract,Tract 5204,17031520400,"3,589",931
Census tract,Tract 5205,17031520500,"4,908",954
Census tract,Tract 5206,17031520600,"2,703",509
Census tract,Tract 5301,17031530100,"1,678",506
Census tract,Tract 5302,17031530200,"3,779",727
Census tract,Tract 5303,17031530300,"3,482",808
Census tract,Tract 5304,17031530400,"2,102",505
Census tract,Tract 5305.01,17031530501,"5,885","1,764"
Census tract,Tract 5305.02,17031530502,"1,335",323
Census tract,Tract 5305.03,17031530503,"3,668",808
Census tract,Tract 5306,17031530600,"2,620",426
Census tract,Tract 5401.01,17031540101,"4,115",745
Census tract,Tract 5401.02,17031540102,"3,403",525
Census tract,Tract 5501,17031550100,"6,161","1,098"
Census tract,Tract 5502,17031550200,"2,692",682
Census tract,Tract 5601,17031560100,"1,197",291
Census tract,Tract 5602,17031560200,"1,716",278
Census tract,Tract 5603,17031560300,"3,343",512
Census tract,Tract 5604,17031560400,"1,438",220
Census tract,Tract 5607,17031560700,"3,923",621
Census tract,Tract 5608,17031560800,"6,415","1,377"
Census tract,Tract 5609,17031560900,"5,175",547
Census tract,Tract 5610,17031561000,"5,904",854
Census tract,Tract 5611,17031561100,"5,564",574
Census tract,Tract 5701,17031570100,"1,299",248
Census tract,Tract 5702,17031570200,"2,111",355
Census tract,Tract 5703,17031570300,"5,801","1,378"
Census tract,Tract 5704,17031570400,"1,668",374
Census tract,Tract 5705,17031570500,"2,535",340
Census tract,Tract 5801,17031580100,"2,167",323
Census tract,Tract 5802,17031580200,"3,049",985
Census tract,Tract 5803,17031580300,"2,311",639
Census tract,Tract 5804,17031580400,"4,236",761
Census tract,Tract 5805.01,17031580501,"4,728",828
Census tract,Tract 5805.02,17031580502,"5,304",599
Census tract,Tract 5806,17031580600,"5,948","1,010"
Census tract,Tract 5807,17031580700,"5,822","1,361"
Census tract,Tract 5808,17031580800,"2,018",592
Census tract,Tract 5905,17031590500,"1,630",241
Census tract,Tract 5906,17031590600,"3,706",543
Census tract,Tract 5907,17031590700,"2,544",683
Census tract,Tract 6004,17031600400,"4,135",525
Census tract,Tract 6006,17031600600,"2,668",555
Census tract,Tract 6007,17031600700,"3,171",640
Census tract,Tract 6009,17031600900,"3,742",730
Census tract,Tract 6103,17031610300,"5,067","1,432"
Census tract,Tract 6104,17031610400,"2,063",639
Census tract,Tract 6108,17031610800,"1,584",279
Census tract,Tract 6112,17031611200,"2,586",509
Census tract,Tract 6113,17031611300,"3,365",796
Census tract,Tract 6114,17031611400,"3,536","1,014"
Census tract,Tract 6115,17031611500,"3,226",747
Census tract,Tract 6116,17031611600,"1,464",405
Census tract,Tract 6117,17031611700,"1,703",522
Census tract,Tract 6118,17031611800,"1,353",248
Census tract,Tract 6119,17031611900,"1,797",563
Census tract,Tract 6120,17031612000,"1,214",310
Census tract,Tract 6121,17031612100,961,208
Census tract,Tract 6122,17031612200,"4,038",689
Census tract,Tract 6201,17031620100,"4,814","1,060"
Census tract,Tract 6202,17031620200,"1,947",384
Census tract,Tract 6203,17031620300,"6,507",732
Census tract,Tract 6204,17031620400,"4,633",903
Census tract,Tract 6303,17031630300,"5,193","1,047"
Census tract,Tract 6304,17031630400,"7,455","1,013"
Census tract,Tract 6305,17031630500,"6,026",922
Census tract,Tract 6306,17031630600,"2,864",515
Census tract,Tract 6308,17031630800,"5,928","1,223"
Census tract,Tract 6309,17031630900,"3,998","1,023"
Census tract,Tract 6401,17031640100,"1,464",448
Census tract,Tract 6403,17031640300,"6,158","1,689"
Census tract,Tract 6404,17031640400,"3,306",647
Census tract,Tract 6405,17031640500,"4,091",719
Census tract,Tract 6406,17031640600,"4,042",585
Census tract,Tract 6407,17031640700,"3,080",740
Census tract,Tract 6408,17031640800,"1,488",296
Census tract,Tract 6501,17031650100,"4,283",748
Census tract,Tract 6502,17031650200,"6,782","1,567"
Census tract,Tract 6503.01,17031650301,"4,696",579
Census tract,Tract 6503.02,17031650302,"5,242","1,120"
Census tract,Tract 6504,17031650400,"6,907","1,635"
Census tract,Tract 6505,17031650500,"4,032",704
Census tract,Tract 6603.01,17031660301,"1,818",481
Census tract,Tract 6603.02,17031660302,"4,661","1,053"
Census tract,Tract 6604,17031660400,"4,981",801
Census tract,Tract 6605,17031660500,"5,650","1,119"
Census tract,Tract 6606,17031660600,"6,533","1,458"
Census tract,Tract 6607,17031660700,"1,561",405
Census tract,Tract 6608,17031660800,"5,876","1,353"
Census tract,Tract 6609,17031660900,"5,855","1,162"
Census tract,Tract 6610,17031661000,"4,954",869
Census tract,Tract 6611,17031661100,"7,052",929
Census tract,Tract 6701,17031670100,"1,031",252
Census tract,Tract 6702,17031670200,"1,355",344
Census tract,Tract 6703,17031670300,"1,204",281
Census tract,Tract 6704,17031670400,"1,746",463
Census tract,Tract 6705,17031670500,"1,294",344
Census tract,Tract 6706,17031670600,"1,232",338
Census tract,Tract 6707,17031670700,720,210
Census tract,Tract 6708,17031670800,"1,270",315
Census tract,Tract 6709,17031670900,"1,414",584
Census tract,Tract 6711,17031671100,"1,037",417
Census tract,Tract 6712,17031671200,664,157
Census tract,Tract 6713,17031671300,"1,714",323
Census tract,Tract 6714,17031671400,"1,516",455
Census tract,Tract 6715,17031671500,"2,451",635
Census tract,Tract 6716,17031671600,"1,829",471
Census tract,Tract 6718,17031671800,"1,329",342
Census tract,Tract 6719,17031671900,"1,541",438
Census tract,Tract 6720,17031672000,"3,787",873
Census tract,Tract 6805,17031680500,"1,636",532
Census tract,Tract 6806,17031680600,"1,205",495
Census tract,Tract 6809,17031680900,"3,954",815
Census tract,Tract 6810,17031681000,"2,410",569
Census tract,Tract 6811,17031681100,"2,367",532
Census tract,Tract 6812,17031681200,"2,139",598
Census tract,Tract 6813,17031681300,"2,014",535
Census tract,Tract 6814,17031681400,"1,811",361
Census tract,Tract 6903,17031690300,"1,709",417
Census tract,Tract 6904,17031690400,"3,319",604
Census tract,Tract 6905,17031690500,704,272
Census tract,Tract 6909,17031690900,"3,923",804
Census tract,Tract 6910,17031691000,"2,572",541
Census tract,Tract 6911,17031691100,"2,627",632
Census tract,Tract 6912,17031691200,"1,878",320
Census tract,Tract 6913,17031691300,"2,106",426
Census tract,Tract 6914,17031691400,"3,323",658
Census tract,Tract 6915,17031691500,"1,667",466
Census tract,Tract 7001,17031700100,"3,380",679
Census tract,Tract 7002,17031700200,"6,981","1,024"
Census tract,Tract 7003.01,17031700301,"6,153",733
Census tract,Tract 7003.02,17031700302,"5,587",692
Census tract,Tract 7004.01,17031700401,"6,367",941
Census tract,Tract 7004.02,17031700402,"3,297",421
Census tract,Tract 7005.01,17031700501,"6,924","1,383"
Census tract,Tract 7005.02,17031700502,"3,318",514
Census tract,Tract 7101,17031710100,940,193
Census tract,Tract 7102,17031710200,"3,676",711
Census tract,Tract 7103,17031710300,"1,180",299
Census tract,Tract 7104,17031710400,"5,212","1,088"
Census tract,Tract 7105,17031710500,"4,305","1,159"
Census tract,Tract 7106,17031710600,"1,658",300
Census tract,Tract 7107,17031710700,"2,948",685
Census tract,Tract 7108,17031710800,"4,867",982
Census tract,Tract 7109,17031710900,"2,078",535
Census tract,Tract 7110,17031711000,"3,419",820
Census tract,Tract 7111,17031711100,"2,575",512
Census tract,Tract 7112,17031711200,"4,626","1,001"
Census tract,Tract 7113,17031711300,"1,506",336
Census tract,Tract 7114,17031711400,"2,672",631
Census tract,Tract 7115,17031711500,"2,117",356
Census tract,Tract 7201,17031720100,"3,434",621
Census tract,Tract 7202,17031720200,"3,868",699
Census tract,Tract 7203,17031720300,"3,448",517
Census tract,Tract 7204,17031720400,"1,927",265
Census tract,Tract 7205,17031720500,"1,965",258
Census tract,Tract 7206,17031720600,"1,944",293
Census tract,Tract 7207,17031720700,"2,935",683
Census tract,Tract 7301,17031730100,"2,236",380
Census tract,Tract 7302.01,17031730201,"5,755","1,202"
Census tract,Tract 7302.02,17031730202,"2,895",594
Census tract,Tract 7303,17031730300,"1,079",302
Census tract,Tract 7304,17031730400,"3,547",809
Census tract,Tract 7305,17031730500,"4,067",790
Census tract,Tract 7306,17031730600,"3,267",853
Census tract,Tract 7307,17031730700,"2,005",442
Census tract,Tract 7401,17031740100,"3,003",394
Census tract,Tract 7402,17031740200,"6,192",716
Census tract,Tract 7403,17031740300,"5,266",529
Census tract,Tract 7404,17031740400,"4,598",626
Census tract,Tract 7501,17031750100,"3,246",582
Census tract,Tract 7502,17031750200,"3,079",557
Census tract,Tract 7503,17031750300,"2,493",429
Census tract,Tract 7504,17031750400,"3,142",422
Census tract,Tract 7505,17031750500,"5,487","1,037"
Census tract,Tract 7506,17031750600,"3,418",752
Census tract,Tract 7608.01,17031760801,"4,804",588
Census tract,Tract 7608.02,17031760802,"2,280",236
Census tract,Tract 7608.03,17031760803,"7,061","1,133"
Census tract,Tract 7705,17031770500,"4,292",665
Census tract,Tract 7706.02,17031770602,"4,220",522
Census tract,Tract 7707,17031770700,"2,359",347
Census tract,Tract 7708,17031770800,"5,836",621
Census tract,Tract 7709.01,17031770901,"4,918",558
Census tract,Tract 7709.02,17031770902,"3,911",495
Census tract,Tract 8104,17031810400,"5,496",402
Census tract,Tract 8105.01,17031810501,"5,110",339
Census tract,Tract 8105.02,17031810502,"5,740",741
Census tract,Tract 8106,17031810600,"4,731",663
Census tract,Tract 8233.04,17031823304,"5,977",569
Census tract,Tract 8305,17031830500,"4,071",849
Census tract,Tract 8306,17031830600,"4,665",825
Census tract,Tract 8307,17031830700,"4,285",583
Census tract,Tract 8308,17031830800,"2,603",298
Census tract,Tract 8309,17031830900,"3,359",398
Census tract,Tract 8310,17031831000,"2,431",320
Census tract,Tract 8311,17031831100,"6,760","1,002"
Census tract,Tract 8312,17031831200,"4,597",673
Census tract,Tract 8313,17031831300,"1,310",520
Census tract,Tract 8314,17031831400,"2,767",590
Census tract,Tract 8315,17031831500,"3,778",767
Census tract,Tract 8316,17031831600,"7,240","1,246"
Census tract,Tract 8317,17031831700,"2,270",379
Census tract,Tract 8318,17031831800,"6,600","1,142"
Census tract,Tract 8319,17031831900,"2,991",463
Census tract,Tract 8320,17031832000,"1,874",209
Census tract,Tract 8321,17031832100,"3,957",628
Census tract,Tract 8322,17031832200,"3,206",391
Census tract,Tract 8323,17031832300,"2,316",243
Census tract,Tract 8324,17031832400,"3,487",484
Census tract,Tract 8325,17031832500,"3,439",367
Census tract,Tract 8326,17031832600,"4,150",568
Census tract,Tract 8329,17031832900,"2,162",362
Census tract,Tract 8330,17031833000,"6,109",944
Census tract,Tract 8331,17031833100,"9,022",932
Census tract,Tract 8333,17031833300,"2,861",577
Census tract,Tract 8339,17031833900,"2,716",600
Census tract,Tract 8340,17031834000,"3,029",620
Census tract,Tract 8342,17031834200,"4,687","1,088"
Census tract,Tract 8343,17031834300,"6,103","1,016"
Census tract,Tract 8344,17031834400,"3,733",591
Census tract,Tract 8345,17031834500,"1,616",426
Census tract,Tract 8346,17031834600,"2,299",519
Census tract,Tract 8347,17031834700,"1,580",341
Census tract,Tract 8348,17031834800,"1,780",437
Census tract,Tract 8349,17031834900,"1,010",281
Census tract,Tract 8350,17031835000,"5,468","1,081"
Census tract,Tract 8351,17031835100,"4,617","1,015"
Census tract,Tract 8352,17031835200,"2,057",475
Census tract,Tract 8355,17031835500,"1,545",391
Census tract,Tract 8356,17031835600,725,226
Census tract,Tract 8358,17031835800,"2,031",420
Census tract,Tract 8360,17031836000,"2,695",512
Census tract,Tract 8361,17031836100,"2,110",517
Census tract,Tract 8362,17031836200,"2,281",206
Census tract,Tract 8363,17031836300,"1,849",267
Census tract,Tract 8364,17031836400,"3,357",612
Census tract,Tract 8365,17031836500,"1,680",374
Census tract,Tract 8366,17031836600,"2,906",534
Census tract,Tract 8367,17031836700,"3,150",933
Census tract,Tract 8368,17031836800,"2,867",911
Census tract,Tract 8369,17031836900,"2,181",973
Census tract,Tract 8370,17031837000,"2,318",539
Census tract,Tract 8371,17031837100,"1,584",381
Census tract,Tract 8373,17031837300,"2,164",302
Census tract,Tract 8374,17031837400,"1,956",398
Census tract,Tract 8378,17031837800,"2,467",419
Census tract,Tract 8380,17031838000,"3,069",616
Census tract,Tract 8381,17031838100,"1,873",361
Census tract,Tract 8382,17031838200,"1,606",275
Census tract,Tract 8383,17031838300,"3,014",380
Census tract,Tract 8386,17031838600,"1,642",509
Census tract,Tract 8387,17031838700,"4,136","1,120"
Census tract,Tract 8388,17031838800,"2,396",580
Census tract,Tract 8390,17031839000,"10,391",971
Census tract,Tract 8391,17031839100,"8,355",896
Census tract,Tract 8392,17031839200,"2,295",325
Census tract,Tract 8395,17031839500,"1,827",339
Census tract,Tract 8396,17031839600,"1,687",264
Census tract,Tract 8397,17031839700,"4,910",747
Census tract,Tract 8398,17031839800,"2,747",451
Census tract,Tract 8399,17031839900,"4,568",446
Census tract,Tract 8400,17031840000,"2,622",406
Census tract,Tract 8401,17031840100,"2,879",467
Census tract,Tract 8402,17031840200,"2,233",285
Census tract,Tract 8403,17031840300,"3,548",533
Census tract,Tract 8404,17031840400,"3,426",561
Census tract,Tract 8407,17031840700,"4,001",983
Census tract,Tract 8408,17031840800,"3,457",614
Census tract,Tract 8410,17031841000,"1,280",172
Census tract,Tract 8411,17031841100,"7,324",955
Census tract,Tract 8412,17031841200,"5,004",934
Census tract,Tract 8413,17031841300,"3,970",696
Census tract,Tract 8415,17031841500,"2,735",949
Census tract,Tract 8417,17031841700,"1,249",264
Census tract,Tract 8418,17031841800,"2,249",395
Census tract,Tract 8419,17031841900,"6,567",459
Census tract,Tract 8420,17031842000,"2,768",231
Census tract,Tract 8421,17031842100,"6,780","1,245"
Census tract,Tract 8422,17031842200,"3,807",591
Census tract,Tract 8423,17031842300,"3,490",447
Census tract,Tract 8424,17031842400,"2,855",490
Census tract,Tract 8425,17031842500,"3,066",457
Census tract,Tract 8426,17031842600,"4,223",636
Census tract,Tract 8428,17031842800,"7,411","1,211"
Census tract,Tract 8429,17031842900,"2,422",459
Census tract,Tract 8430,17031843000,"2,271",541
Census tract,Tract 8431,17031843100,"1,381",347
Census tract,Tract 8432,17031843200,"2,135",330
Census tract,Tract 8433,17031843300,"1,718",226
Census tract,Tract 8434,17031843400,"1,279",281
Census tract,Tract 8435,17031843500,"8,706",392
Census tract,Tract 8436,17031843600,"2,974",510
Census tract,Tract 8437,17031843700,"2,602",360
Census tract,Tract 8438,17031843800,"1,960",398
Census tract,Tract 8439,17031843900,"3,712",655
Census tract,Tract 8446,17031844600,"2,081",988
Census tract,Tract 8447,17031844700,"2,311",336
Census tract,Tract 9800,17031980000,0,13
Census tract,Tract 9801,17031980100,0,13
Census tract,Tract 8400,17043840000,"3,247",436
Census tract,Tract 8408.01,17043840801,"2,496",382