Layer,Name,GEOID,Longitude,Latitude,PMH_2023,PMH_2023_se,SES_2023,SES_2023_se,CHACFZN_2023,CHACFZN_2023_se
,,,,,"Self-reported poor mental health (% of adults), 2023",(Standard error),"Lacking social and emotional support (% of residents), 2023",(Standard error),"Child Opportunity Index 3.0, 2023",(Standard error)
Zip code,60601,60601,-87.62209200,41.88530300,12.8,0.7653061224489796,22.6,1.326530612244898,85.11744841028572,
Zip code,60602,60602,-87.62914800,41.88307300,12.2,0.7142857142857141,22.3,1.326530612244898,84.565587751,
Zip code,60603,60603,-87.62550900,41.88018800,14.3,0.8418367346938778,24.7,1.454081632653061,85.541857355625,
Zip code,60604,60604,-87.62846100,41.87809500,15.6,0.918367346938775,24.8,1.454081632653062,82.61304854175,
Zip code,60605,60605,-87.61722800,41.86756600,13.6,0.739795918367347,23.1,1.2755102040816326,74.26543881829411,
Zip code,60606,60606,-87.63735300,41.88206000,13.5,0.8163265306122447,22.2,1.377551020408163,76.16281218646154,
Zip code,60607,60607,-87.65160000,41.87493500,15.0,0.8163265306122447,24.7,1.3520408163265298,69.69671394545455,
Zip code,60608,60608,-87.67066400,41.84688000,16.3,0.7908163265306117,30.5,1.45408163265306,36.1647316469973,
Zip code,60609,60609,-87.65693500,41.81268000,17.7,0.8163265306122447,32.0,1.530612244897959,20.541897511489584,
Zip code,60610,60610,-87.63223100,41.90677200,14.4,0.7653061224489796,21.3,1.1734693877551023,87.14900213085184,
Zip code,60611,60611,-87.61375200,41.89573200,11.8,0.6122448979591838,19.6,1.122448979591837,88.45384464809999,
Zip code,60612,60612,-87.68774200,41.88031200,17.6,0.8673469387755103,30.6,1.5051020408163271,36.546786506988234,
Zip code,60613,60613,-87.65427200,41.95694900,14.5,0.7142857142857145,21.7,1.1989795918367343,72.280764278,
Zip code,60614,60614,-87.64957700,41.92271400,14.3,0.7142857142857145,20.3,1.1479591836734695,80.72612776389654,
Zip code,60615,60615,-87.59628800,41.80164700,15.8,0.7653061224489796,28.1,1.4285714285714282,32.82077342813954,
Zip code,60616,60616,-87.62403200,41.84488300,14.0,0.6887755102040819,30.2,1.428571428571429,42.5891674121,
Zip code,60617,60617,-87.55204900,41.71820100,17.0,0.8163265306122451,32.5,1.5561224489795922,15.39947400413433,
Zip code,60618,60618,-87.70254800,41.94696100,14.7,0.7397959183673466,24.5,1.2755102040816326,57.25463276746836,
Zip code,60619,60619,-87.60552300,41.74369300,17.7,0.8163265306122447,34.1,1.6071428571428583,15.101917466651516,
Zip code,60620,60620,-87.65255800,41.74049700,18.2,0.8673469387755098,35.5,1.6071428571428583,20.907190370066665,
Zip code,60621,60621,-87.63957100,41.77638200,20.8,0.969387755102041,37.6,1.6581632653061225,9.524999120783784,
Zip code,60622,60622,-87.68333700,41.90217200,15.0,0.7908163265306122,22.3,1.2500000000000009,65.15261825195833,
Zip code,60623,60623,-87.71766100,41.84889700,18.5,0.8673469387755098,33.6,1.5816326530612237,12.039365696112501,
Zip code,60624,60624,-87.72444400,41.88050400,21.6,0.994897959183674,37.5,1.6581632653061225,11.659897129400001,
Zip code,60625,60625,-87.70036200,41.97307600,14.9,0.7397959183673466,25.7,1.326530612244898,50.77494935425581,
Zip code,60626,60626,-87.66709500,42.01001900,16.6,0.7908163265306126,26.5,1.3520408163265307,39.068946953444446,
Zip code,60628,60628,-87.61577300,41.69087500,17.8,0.8163265306122447,34.6,1.6071428571428563,20.47331780139706,
Zip code,60629,60629,-87.71149600,41.77586800,17.0,0.8163265306122451,31.9,1.530612244897959,17.92313404087037,
Zip code,60630,60630,-87.75656900,41.97207100,14.0,0.6887755102040819,24.8,1.3010204081632648,50.614346666320756,
Zip code,60631,60631,-87.81300200,41.99485600,13.4,0.7142857142857145,21.6,1.2500000000000009,65.62128022788889,
Zip code,60632,60632,-87.71325200,41.81016600,16.2,0.7653061224489796,31.6,1.5561224489795913,19.942209813266665,
Zip code,60633,60633,-87.56131400,41.66378300,16.8,0.8418367346938773,29.9,1.530612244897959,16.23045711725,
Zip code,60634,60634,-87.80611700,41.94618900,14.9,0.7142857142857145,26.2,1.377551020408163,39.787558727695654,
Zip code,60636,60636,-87.66906400,41.77573900,20.4,0.943877551020408,37.2,1.6326530612244894,8.003520021473683,
Zip code,60637,60637,-87.59987600,41.78162100,19.5,0.918367346938776,32.8,1.530612244897959,22.637146353037735,
Zip code,60638,60638,-87.77052100,41.78143000,14.9,0.7142857142857145,26.7,1.326530612244898,32.516119193892855,
Zip code,60639,60639,-87.75605400,41.92055300,16.8,0.8163265306122447,31.6,1.5306122448979602,23.9262301387641,
Zip code,60640,60640,-87.66260400,41.97287200,14.9,0.7142857142857145,24.2,1.2755102040816326,56.95467494923684,
Zip code,60641,60641,-87.74678700,41.94660600,15.1,0.739795918367347,26.5,1.3520408163265307,38.65345981387272,
Zip code,60642,60642,-87.65854400,41.90204200,14.6,0.8163265306122447,22.2,1.2499999999999996,73.60558972343479,
Zip code,60643,60643,-87.66326700,41.70027300,14.9,0.7142857142857145,29.7,1.479591836734694,39.03417644182927,
Zip code,60644,60644,-87.75637300,41.88008400,20.6,0.943877551020408,37.2,1.6836734693877555,8.0255069355625,
Zip code,60645,60645,-87.69473500,42.00855800,15.2,0.7653061224489796,27.5,1.403061224489796,39.728710783222226,
Zip code,60646,60646,-87.75962700,41.99301900,12.4,0.6632653061224489,21.9,1.2244897959183667,58.82121358973333,
Zip code,60647,60647,-87.70102800,41.92121500,15.3,0.7397959183673466,24.0,1.3010204081632657,52.2254754321828,
Zip code,60649,60649,-87.56587900,41.76342000,19.1,0.8928571428571429,34.7,1.6071428571428563,12.912863625435897,
Zip code,60651,60651,-87.74085700,41.90209300,18.6,0.8673469387755107,33.9,1.6071428571428574,19.05421805991111,
Zip code,60652,60652,-87.71479500,41.74793200,16.4,0.7908163265306122,31.9,1.5816326530612252,21.753520659062502,
Zip code,60653,60653,-87.60596500,41.81996500,18.4,0.8673469387755107,33.2,1.5561224489795913,27.64581258424324,
Zip code,60654,60654,-87.63726800,41.89228200,13.5,0.7653061224489796,20.4,1.2244897959183667,81.40673957019231,
Zip code,60655,60655,-87.70377600,41.69477600,14.7,0.7653061224489796,22.5,1.2755102040816326,57.4989944658125,
Zip code,60656,60656,-87.82712800,41.97428000,14.5,0.739795918367347,24.2,1.326530612244898,60.82578783433333,
Zip code,60657,60657,-87.64685700,41.94029300,14.0,0.6887755102040819,20.1,1.1734693877551017,81.00470457511364,
Zip code,60659,60659,-87.70398600,41.99148800,14.9,0.7397959183673466,29.8,1.403061224489796,47.439054693885716,
Zip code,60660,60660,-87.66307600,41.99111000,15.1,0.7142857142857145,25.2,1.326530612244898,47.662820925111106,
Zip code,60661,60661,-87.64409900,41.88303000,13.2,0.7908163265306126,22.8,1.3520408163265307,72.945071499625,
Zip code,60707,60707,-87.80728200,41.92185300,14.8,0.739795918367347,26.3,1.3520408163265307,,
Zip code,60827,60827,-87.63357200,41.64943400,20.6,0.969387755102041,35.8,1.6836734693877555,,
