Layer,Name,GEOID,POP_2019-2023,POP_2019-2023_moe
Zip code,60601,60601,"16,292","1,886"
Zip code,60602,60602,"1,127",453
Zip code,60603,60603,"1,126",291
Zip code,60604,60604,653,228
Zip code,60605,60605,"34,256","1,999"
Zip code,60606,60606,"3,527",714
Zip code,60607,60607,"30,197","1,738"
Zip code,60608,60608,"81,459","3,276"
Zip code,60609,60609,"64,268","3,397"
Zip code,60610,60610,"45,282","2,366"
Zip code,60611,60611,"36,036","1,917"
Zip code,60612,60612,"34,699","2,163"
Zip code,60613,60613,"51,334","2,063"
Zip code,60614,60614,"70,444","2,370"
Zip code,60615,60615,"42,752","1,902"
Zip code,60616,60616,"54,456","2,216"
Zip code,60617,60617,"79,284","3,641"
Zip code,60618,60618,"91,896","3,840"
Zip code,60619,60619,"59,892","2,511"
Zip code,60620,60620,"66,511","3,120"
Zip code,60621,60621,"27,318","1,747"
Zip code,60622,60622,"53,696","2,091"
Zip code,60623,60623,"77,061","3,986"
Zip code,60624,60624,"35,711","2,087"
Zip code,60625,60625,"78,467","2,660"
Zip code,60626,60626,"50,027","2,668"
Zip code,60628,60628,"59,212","2,709"
Zip code,60629,60629,"109,292","4,941"
Zip code,60630,60630,"54,242","2,409"
Zip code,60631,60631,"30,308","1,673"
Zip code,60632,60632,"87,831","4,521"
Zip code,60633,60633,"12,485","1,227"
Zip code,60634,60634,"74,418","2,595"
Zip code,60636,60636,"31,007","2,182"
Zip code,60637,60637,"52,418","2,737"
Zip code,60638,60638,"58,250","3,192"
Zip code,60639,60639,"84,505","4,068"
Zip code,60640,60640,"66,884","2,241"
Zip code,60641,60641,"67,400","2,602"
Zip code,60642,60642,"21,124","1,166"
Zip code,60643,60643,"47,802","2,666"
Zip code,60644,60644,"48,317","2,590"
Zip code,60645,60645,"46,856","2,866"
Zip code,60646,60646,"28,499","1,385"
Zip code,60647,60647,"85,589","2,480"
Zip code,60649,60649,"48,720","2,491"
Zip code,60651,60651,"63,892","3,498"
Zip code,60652,60652,"41,431","2,365"
Zip code,60653,60653,"34,608","1,966"
Zip code,60654,60654,"24,303","1,714"
Zip code,60655,60655,"27,794","1,409"
Zip code,60656,60656,"28,726","1,517"
Zip code,60657,60657,"71,268","2,351"
Zip code,60659,60659,"42,008","2,747"
Zip code,60660,60660,"42,750","2,202"
Zip code,60661,60661,"11,516",999
Zip code,60707,60707,"40,897","1,638"
Zip code,60827,60827,"24,887","1,014"